Comunidades y Ciudades Autónomas;Periodo;Total
13 Madrid, Comunidad de;1993;92,91
13 Madrid, Comunidad de;1992;92,94
13 Madrid, Comunidad de;1991;92,99
13 Madrid, Comunidad de;1990;93,08
13 Madrid, Comunidad de;1989;93,15
13 Madrid, Comunidad de;1988;93,21
13 Madrid, Comunidad de;1987;93,25
13 Madrid, Comunidad de;1986;93,28
13 Madrid, Comunidad de;1985;93,29
13 Madrid, Comunidad de;1984;93,3
13 Madrid, Comunidad de;1983;93,3
13 Madrid, Comunidad de;1982;93,28
13 Madrid, Comunidad de;1981;93,23
13 Madrid, Comunidad de;1980;93,18
13 Madrid, Comunidad de;1979;93,13
13 Madrid, Comunidad de;1978;92,99
13 Madrid, Comunidad de;1977;92,85
13 Madrid, Comunidad de;1976;92,71
13 Madrid, Comunidad de;1975;92,51
14 Murcia, Región de;2022;100,23
14 Murcia, Región de;2021;100,12
14 Murcia, Región de;2020;100,13
14 Murcia, Región de;2019;100,08
14 Murcia, Región de;2018;100,23
14 Murcia, Región de;2017;100,41
14 Murcia, Región de;2016;100,51
14 Murcia, Región de;2015;100,65
14 Murcia, Región de;2014;100,87
14 Murcia, Región de;2013;101,25
14 Murcia, Región de;2012;101,73
14 Murcia, Región de;2011;102,15
14 Murcia, Región de;2010;102,45
14 Murcia, Región de;2009;102,7
14 Murcia, Región de;2008;102,83
14 Murcia, Región de;2007;102,95
14 Murcia, Región de;2006;102,87
14 Murcia, Región de;2005;101,93
14 Murcia, Región de;2004;100,83
14 Murcia, Región de;2003;100,37
14 Murcia, Región de;2002;99,76
14 Murcia, Región de;2001;99,37
14 Murcia, Región de;2000;99,17
14 Murcia, Región de;1999;98,95
14 Murcia, Región de;1998;98,75
14 Murcia, Región de;1997;98,54
14 Murcia, Región de;1996;98,29
14 Murcia, Región de;1995;98,02
14 Murcia, Región de;1994;97,76
14 Murcia, Región de;1993;97,45
14 Murcia, Región de;1992;97,14
14 Murcia, Región de;1991;96,92
14 Murcia, Región de;1990;96,97
14 Murcia, Región de;1989;96,96
14 Murcia, Región de;1988;96,93
14 Murcia, Región de;1987;96,9
14 Murcia, Región de;1986;96,87
14 Murcia, Región de;1985;96,82
14 Murcia, Región de;1984;96,76
14 Murcia, Región de;1983;96,7
14 Murcia, Región de;1982;96,64
14 Murcia, Región de;1981;96,55
14 Murcia, Región de;1980;96,42
14 Murcia, Región de;1979;96,28
14 Murcia, Región de;1978;96,17
14 Murcia, Región de;1977;96,07
14 Murcia, Región de;1976;96
14 Murcia, Región de;1975;96
15 Navarra, Comunidad Foral de;2022;97,55
15 Navarra, Comunidad Foral de;2021;97,64
15 Navarra, Comunidad Foral de;2020;97,7
15 Navarra, Comunidad Foral de;2019;97,62
15 Navarra, Comunidad Foral de;2018;97,77
15 Navarra, Comunidad Foral de;2017;98,03
15 Navarra, Comunidad Foral de;2016;98,26
15 Navarra, Comunidad Foral de;2015;98,36
15 Navarra, Comunidad Foral de;2014;98,57
15 Navarra, Comunidad Foral de;2013;98,99
15 Navarra, Comunidad Foral de;2012;99,43
15 Navarra, Comunidad Foral de;2011;99,73
15 Navarra, Comunidad Foral de;2010;100,01
15 Navarra, Comunidad Foral de;2009;100,23
15 Navarra, Comunidad Foral de;2008;100,09
15 Navarra, Comunidad Foral de;2007;99,58
15 Navarra, Comunidad Foral de;2006;99,54
15 Navarra, Comunidad Foral de;2005;99,46
15 Navarra, Comunidad Foral de;2004;99,32
15 Navarra, Comunidad Foral de;2003;99,23
15 Navarra, Comunidad Foral de;2002;99,16
15 Navarra, Comunidad Foral de;2001;99,06
15 Navarra, Comunidad Foral de;2000;98,97
15 Navarra, Comunidad Foral de;1999;98,87
15 Navarra, Comunidad Foral de;1998;98,82
15 Navarra, Comunidad Foral de;1997;98,77
15 Navarra, Comunidad Foral de;1996;98,77
15 Navarra, Comunidad Foral de;1995;98,73
15 Navarra, Comunidad Foral de;1994;98,67
15 Navarra, Comunidad Foral de;1993;98,6
15 Navarra, Comunidad Foral de;1992;98,55
15 Navarra, Comunidad Foral de;1991;98,53
15 Navarra, Comunidad Foral de;1990;98,57
15 Navarra, Comunidad Foral de;1989;98,64
15 Navarra, Comunidad Foral de;1988;98,73
15 Navarra, Comunidad Foral de;1987;98,78
15 Navarra, Comunidad Foral de;1986;98,74
15 Navarra, Comunidad Foral de;1985;98,85
15 Navarra, Comunidad Foral de;1984;98,88
15 Navarra, Comunidad Foral de;1983;98,93
15 Navarra, Comunidad Foral de;1982;98,96
15 Navarra, Comunidad Foral de;1981;99,12
15 Navarra, Comunidad Foral de;1980;99,18
15 Navarra, Comunidad Foral de;1979;99,19
15 Navarra, Comunidad Foral de;1978;99,16
15 Navarra, Comunidad Foral de;1977;99,09
15 Navarra, Comunidad Foral de;1976;99,04
15 Navarra, Comunidad Foral de;1975;99,02
16 País Vasco;2022;93,64
16 País Vasco;2021;93,7
16 País Vasco;2020;93,71
16 País Vasco;2019;93,8
16 País Vasco;2018;93,82
16 País Vasco;2017;93,94
16 País Vasco;2016;94,16
16 País Vasco;2015;94,31
16 País Vasco;2014;94,53
16 País Vasco;2013;94,89
16 País Vasco;2012;95,32
16 País Vasco;2011;95,67
16 País Vasco;2010;95,94
16 País Vasco;2009;96,1
16 País Vasco;2008;96,04
16 País Vasco;2007;95,9
16 País Vasco;2006;95,97
16 País Vasco;2005;96,02
16 País Vasco;2004;95,92
16 País Vasco;2003;95,79
16 País Vasco;2002;95,66
16 País Vasco;2001;95,66
16 País Vasco;2000;95,73
16 País Vasco;1999;95,82
16 País Vasco;1998;95,88
16 País Vasco;1997;95,97
16 País Vasco;1996;96,07
16 País Vasco;1995;96,17
16 País Vasco;1994;96,3
16 País Vasco;1993;96,42
16 País Vasco;1992;96,51
16 País Vasco;1991;96,65
16 País Vasco;1990;96,87
16 País Vasco;1989;97,08
16 País Vasco;1988;97,28
16 País Vasco;1987;97,46
16 País Vasco;1986;97,58
16 País Vasco;1985;97,74
16 País Vasco;1984;97,9
16 País Vasco;1983;98,05
16 País Vasco;1982;98,18
16 País Vasco;1981;98,28
16 País Vasco;1980;98,29
16 País Vasco;1979;98,3
16 País Vasco;1978;98,28
16 País Vasco;1977;98,22
16 País Vasco;1976;98,17
16 País Vasco;1975;98,08
17 Rioja, La;2022;97,02
17 Rioja, La;2021;97,11
17 Rioja, La;2020;97,11
17 Rioja, La;2019;97,14
17 Rioja, La;2018;97,43
17 Rioja, La;2017;97,45
17 Rioja, La;2016;97,61
17 Rioja, La;2015;97,77
17 Rioja, La;2014;98,28
17 Rioja, La;2013;99,03
17 Rioja, La;2012;99,8
17 Rioja, La;2011;100,34
